"id","title","release","cast","description","created_at","updated_at","director_id","image","position"
1,"Freedom Writers","2007","Hilary Swank, Patrick Dempsey, Scott Glenn, Mario, Imelda Staunton, John Benjamin Hickey, April Lee Hernández, Kristin Herrera and others.","It is based on the book The Freedom Writers Diary by teacher Erin Gruwell and students who compiled the book out of real diary entries about their lives that they wrote in their English class at Woodrow Wilson Classical High School in Long Beach, California. The movie is also based on the DC program called City at Peace. The title of the movie and book is a play on the term ""Freedom Riders,"" referring to the multiracial civil rights activists who tested the U.S. Supreme Court decision ordering the desegregation of interstate buses in 1961.","2020-12-16 14:52:13.430831","2020-12-21 14:18:19.262649",1,"freedom_writers.jpg",
2,"WHEN THEY SEE US","2019","Vera Farmiga, John Leguizamo, Aunjanue Ellis, Kylie Bunbury, Asante Blackk, Caleel Harris, Ethan Herisse, Jharrel Jerome, Michael K. Williams and others.","When They See Us is a 2019 American crime drama television miniseries created, co-written, and directed by Ava DuVernay for Netflix, that premiered in four parts on May 31, 2019. It is based on events of the 1989 Central Park jogger case and explores the lives and families of the five male suspects who were falsely accused then prosecuted on charges related to the rape and assault of a woman in Central Park, New York City.","2020-12-16 14:53:14.561434","2020-12-21 13:32:59.02645",1,"WHENTHEYSEEUS.jpg",
4,"Scarface","1983","Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio, Robert Loggia, Miriam Colon, F. Murray Abraham and others.","After getting a green card in exchange for assassinating a Cuban government official, Tony Montana (Al Pacino) stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.","2020-12-16 17:40:14.163624","2020-12-21 15:51:50.62216",1,"scarface.jpg",
5,"SUPERBAD","2007","Jonah Hill, Michael Cera, Christopher Mintz-Plasse, Bill Hader, Seth Rogen, Emma Stone, Joe Lo Truglio, Dave Franco, Martin Starr, Danny McBride and othres.","The film stars Jonah Hill and Michael Cera as Seth and Evan, two teenagers about to graduate from high school. Before graduating, the boys want to party and lose their virginity, but their plan proves harder than expected.","2020-12-16 17:51:14.773404","2020-12-21 13:50:00.273853",4,"superbad.jpg",
6,"PINEAPPLE EXPRESS","2008","Seth Rogen, James Franco, Danny McBride, Gary Cole, Craig Robinson, Rosie Perez, Ken Jeong, Amber Heard, Ed Begley Jr.,  Joe Lo Truglio and others.","The plot centers on a process server and his marijuana dealer as they are forced to flee from hitmen and a corrupt police officer after witnessing them commit a murder.","2020-12-16 18:00:37.183317","2020-12-21 15:48:24.956407",5,"pineapple_express.jpg",
7,"Top Boy","2011","Ashley Walters, Kane Robinson, Shone Romulus, Malcolm Kamulete, Sharon Duncan-Brewster, Giacomo Mancini, Kierston Wareing and others.","Two London drug dealers ply their lucrative trade at a public housing estate in East London. A thriving but underground drugs business is being run by Dushane (Ashley Walters) and his friend Sully (Kano) to become the richest men on the block.","2020-12-22 06:37:53.04799","2020-12-22 06:37:53.04799",6,"topboy.jpg",
8,"Neighbors","2014","Seth Rogen, Zac Efron, Rose Byrne, Christopher Mintz-Plasse, Dave Franco, Ike Barinholtz, Carla Gallo and othes.","he plot follows a couple who come into conflict with a fraternity that has recently moved in next door, which leads them into an all out war.","2020-12-22 06:46:38.919963","2020-12-22 06:48:17.511227",7,"neighbors.jpg",
9,"Neighbors 2: Sorority Rising","2016","Seth Rogen, Zac Efron, Rose Byrne, Christopher Mintz-Plasse, Dave Franco, Ike Barinholtz, Carla Gallo and othes.","the Radners (Rogen and Rose Byrne) having to outwit a new sorority led by Shelby (Chloë Grace Moretz), living next door in order to sell their house currently in escrow.","2020-12-22 06:51:46.330076","2020-12-22 06:51:46.330076",7,"Neighbors2.jpg",
10,"Knocked Up","2007","Seth Rogen, Katherine Heigl, Paul Rudd, Leslie Mann, Jason Segel and others.","It follows the repercussions of a drunken one-night stand between a slacker and a just-promoted media personality that results in an unintended pregnancy.","2020-12-22 06:57:44.376104","2020-12-22 06:57:44.376104",8,"Knocked_Up.jpg",
11,"Forgetting Sarah Marshall","2008","Jason Segel, Kristen Bell, Mila Kunis, Russell Brand, Jonah Hill, Bill Hader and others.","The story revolves around Peter Bretter, who is a music composer for a TV show that happens to feature his girlfriend, Sarah Marshall, in the lead role. After a five-year relationship, Sarah abruptly breaks up with Peter. Devastated by this event, he chooses to go on a vacation in Hawaii, in order to try to move forward with his life. Trouble ensues when he runs into his ex on the island as she is vacationing with her new boyfriend.","2020-12-22 07:02:40.959658","2020-12-22 07:02:40.959658",7,"Forgetting_Sarah_Marshall.jpg",
